Column,expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x
2305,2022-02-07,Squarespaces Inc.,Squarespaces Inc.,SquareSpace.com  New York  New York 01234,Business/Group/Organization,20.0000,Cox  Richard for Sheriff,Media,Online Advertising,,EFT,,Electoral,advertising,
2306,2022-02-22,WIX.COM,Wix.com,Premium Plan  New York  New York 34527,Business/Group/Organization,324.0000,Cox  Richard for Sheriff,Media,Media - Website Development,,EFT,,Electoral,Web Site development,
2307,2022-02-22,Clippers Magazine,Clippers Magazine,3708 Hempland Road  Mountville  Pennsylvania 17554,Business/Group/Organization,411.6800,Cox  Richard for Sheriff,Media,Book/Brochure Advertising,,EFT,,Electoral,magazine advertising,
2308,2022-03-15,Bluehost Inc.,Bluehost Inc.,10 Corporate Drive  Suite 300  Burlington  Massachusetts 01803,Business/Group/Organization,25.0400,Foley  Linda Friends of,Media,Media - Website Development,,Debit Card,,Electoral,,
2309,2022-03-15,Bluehost Inc.,Bluehost Inc.,10 Corporate Drive  Suite 300  Burlington  Massachusetts 01803,Business/Group/Organization,25.0300,Foley  Linda Friends of,Media,Media - Website Development,,Debit Card,,Electoral,,
2310,2022-04-14,Women's Law Center of MD,Women's Law Center of MD,305 W Chesapeake Ave.  Suite 201  Towson  Maryland 21204,Business/Group/Organization,200.0000,Brown  Monise Keep Judge,Media,Book/Brochure Advertising,,Debit Card,,Electoral,,
2311,2022-04-25,Strategic Marketing Group  Attn: Chris Ripley,Strategic Marketing Group  Attn: Chris Ripley,11668 Cygnet Drive  Waldorf  Maryland 20601,Business/Group/Organization,2124.0600,Brown  Monise Keep Judge,Media,Consulting Fees - General,,Check,,Electoral,check #1013,
2312,2022-01-13,Majority Strategies,Majority Strategies,12854 Kenan Drive  Ste 110  Jacksonville  Florida 33258,Business/Group/Organization,4520.0000,Ready  Justin Friends Of,Media,Book/Brochure Advertising,,Check,,Electoral,Direct Mailing Service,
2313,2022-02-17,Majority Strategies,Majority Strategies,12854 Kenan Drive  Suite 145  Jacksonville  Florida 33258,Business/Group/Organization,2560.0000,Ready  Justin Friends Of,Media,Online Advertising,,Check,,Electoral,Digital Advertising,
2314,2022-06-01,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,224.6400,Corderman  Paul Friends of,Media,Online Advertising,,Debit Card,,Electoral,,
2315,2022-02-28,ERIC SCOTT  COLVIN,ERIC SCOTT  COLVIN,44750 SPRINGER ROAD  VALLEY LEE  Maryland 20692,Self (Candidate),69.9600,Colvin  Eric Voters for,Media,Online Advertising,,Credit Card/MasterCard,Facebook,Electoral,,
2316,2022-03-16,Salty Social   Marketing,Salty Social   Marketing,11906 Grays Creek Drive  Berlin  Maryland 21811,Business/Group/Organization,262.5000,Worcester County Democratic Central Committee,Media,Media - Website Development,,Check,,Electoral,,
2317,2022-03-31,ERIC SCOTT  COLVIN,ERIC SCOTT  COLVIN,44750 SPRINGER ROAD  VALLEY LEE  Maryland 20692,Self (Candidate),34.5700,Colvin  Eric Voters for,Media,Online Advertising,,Credit Card/Visa,Facebook,Electoral,,
2318,2022-05-31,ERIC SCOTT  COLVIN,ERIC SCOTT  COLVIN,44750 SPRINGER ROAD  VALLEY LEE  Maryland 20692,Self (Candidate),48.3500,Colvin  Eric Voters for,Media,Online Advertising,,Credit Card/Visa,Facebook,Electoral,,
2319,2022-10-31,Facebook,Facebook,350 Camino Gardens Blvd  Suite 202  Boca Raton  Florida 33432,Business/Group/Organization,625.0000,Lombardo  Darren Citizens for,Media,Online Advertising,,EFT,,Electoral,,
